Country Name,Country Code,Series,Series Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Romania,ROU,"Gross enrolment ratio, upper secondary, male (%)",SE.SEC.ENRR.UP.MA,66.39385,66.33249,67.6289,69.67732,71.28758,71.40995,72.63874,74.16087,79.17168,86.12468,91.66746,97.7052,99.77225,100.61822,96.72519,91.41135,89.07836,86.39969,87.12088,88.26634,..,..,..,..,..,..
Romania,ROU,"Total net enrolment rate, upper secondary, both sexes (%)",UIS.NERT.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.1272,80.17561,78.78728,79.33394,80.14189,..,..,..,..,..,..
Romania,ROU,"Total net enrolment rate, upper secondary, female (%)",UIS.NERT.3.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.79802,81.14587,79.85,80.76238,81.36433,..,..,..,..,..,..
Romania,ROU,"Total net enrolment rate, upper secondary, male (%)",UIS.NERT.3.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.49686,79.26411,77.7879,77.98926,78.98969,..,..,..,..,..,..
Romania,ROU,"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",UIS.ROFST.2T3.CP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.94415,12.84092,14.15344,14.12177,14.36642,..,..,..,..,..,..
Romania,ROU,"Out-of-school rate for youth of upper secondary school age, both sexes (%)",UIS.ROFST.3.CP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.8728,19.82439,21.21272,20.66606,19.85811,..,..,..,..,..,..
Romania,ROU,"Out-of-school rate for youth of upper secondary school age, both sexes (household survey data) (%)",UIS.ROFST.H.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Serbia,SRB,"Enrolment in upper secondary education, both sexes (number)",UIS.E.3,337226,332559,323490,314556,310235,302612,297708,293711,290387,288163,288121,286844,285596,283173,280422,270356,263124,255812,251884,250946,254101,..,..,..,..,..
Serbia,SRB,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,168754,167597,162264,159763,157534,152985,150508,148916,146366,145058,144746,143222,141675,140846,139523,134092,130065,126259,124007,123719,125342,..,..,..,..,..
Serbia,SRB,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,168472,164962,161226,154793,152701,149627,147200,144795,144021,143105,143375,143622,143921,142327,140899,136264,133059,129553,127877,127227,128759,..,..,..,..,..
Serbia,SRB,"Gross enrolment ratio, upper secondary, both sexes (%)",SE.SEC.ENRR.UP,83.11955,81.89132,80.25554,79.07927,79.26047,79.04399,79.74756,80.58158,81.56205,83.21484,84.21906,84.95306,87.27471,87.98182,89.83997,89.84195,91.38154,91.74973,90.52532,89.59797,89.36928,..,..,..,..,..
Serbia,SRB,"Gross enrolment ratio, upper secondary, female (%)",SE.SEC.ENRR.UP.FE,85.05875,84.25008,82.25811,82.05683,82.32638,82.03037,82.70307,83.86421,84.24524,85.62035,86.65401,86.94771,89.25928,90.39774,92.24539,91.86145,93.13641,93.22755,91.7578,90.96383,90.64297,..,..,..,..,..
Serbia,SRB,"Gross enrolment ratio, upper secondary, male (%)",SE.SEC.ENRR.UP.MA,81.26378,79.62639,78.33616,76.22455,76.32798,76.20733,76.93634,77.46321,79.00479,80.91062,81.89581,83.05306,85.40545,85.71489,87.57855,87.93949,89.72891,90.35387,89.36136,88.30854,88.16332,..,..,..,..,..
Serbia,SRB,"Total net enrolment rate, upper secondary, both sexes (%)",UIS.NERT.3,..,..,..,..,..,..,..,..,..,83.2056,84.09659,85.03658,88.64771,88.97171,88.89903,87.59853,89.33319,89.05977,88.87248,88.18909,87.73771,..,..,..,..,..
Serbia,SRB,"Total net enrolment rate, upper secondary, female (%)",UIS.NERT.3.F,..,..,..,..,..,..,..,..,..,85.56664,86.58038,86.87364,90.23141,91.28601,91.17565,89.3733,90.83996,90.42243,90.12845,89.52349,89.13878,..,..,..,..,..
Serbia,SRB,"Total net enrolment rate, upper secondary, male (%)",UIS.NERT.3.M,..,..,..,..,..,..,..,..,..,80.94398,81.72674,83.28669,87.15604,86.80012,86.7587,85.92661,87.91422,87.77269,87.68632,86.92936,86.41113,..,..,..,..,..
Serbia,SRB,"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",UIS.ROFST.2T3.CP,..,..,..,..,..,..,..,..,..,9.65156,8.9887,9.09216,6.30242,6.07056,5.97076,7.00064,5.3892,6.05125,6.27824,6.75804,7.25142,..,..,..,..,..
Serbia,SRB,"Out-of-school rate for youth of upper secondary school age, both sexes (%)",UIS.ROFST.3.CP,..,..,..,..,..,..,..,..,..,16.7944,15.90341,14.96342,11.35229,11.02829,11.10097,12.40147,10.66681,10.94023,11.12752,11.81091,12.26229,..,..,..,..,..
Serbia,SRB,"Out-of-school rate for youth of upper secondary school age, both sexes (household survey data) (%)",UIS.ROFST.H.3,..,..,..,..,..,..,..,..,..,..,..,..,10.74206,..,..,10.37421,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,"Enrolment in upper secondary education, both sexes (number)",UIS.E.3,302185,262647,264709,275098,288941,302968,302597,295073,290456,281658,275425,269472,256746,243400,222339,207550,200361,195344,189842,187719,..,..,..,..,..,..
Slovak Republic,SVK,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,151226,132499,132529,137191,143759,151782,150730,146746,144669,140369,137304,134122,127279,120287,111493,103461,99570,97105,94447,93477,..,..,..,..,..,..
Slovak Republic,SVK,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,150959,130148,132180,137907,145182,151186,151867,148327,145787,141289,138121,135350,129467,123113,110846,104089,100791,98239,95395,94242,..,..,..,..,..,..
Slovak Republic,SVK,"Gross enrolment ratio, upper secondary, both sexes (%)",SE.SEC.ENRR.UP,81.90849,72.46754,74.18059,78.22974,83.36488,88.82504,90.3825,89.96951,90.66465,90.05275,90.3827,91.17984,90.16224,89.31782,85.7323,84.18,85.09199,86.20121,86.25104,87.25272,..,..,..,..,..,..
Slovak Republic,SVK,"Gross enrolment ratio, upper secondary, female (%)",SE.SEC.ENRR.UP.FE,83.75017,74.71594,75.91392,79.71308,84.70263,90.83575,91.89173,91.35938,92.24927,91.76244,92.22771,92.99239,91.67711,90.53189,88.1744,86.08049,86.77502,87.9654,88.09615,89.19306,..,..,..,..,..,..
Slovak Republic,SVK,"Gross enrolment ratio, upper secondary, male (%)",SE.SEC.ENRR.UP.MA,80.14302,70.3134,72.52038,76.80787,82.08123,86.894,88.93281,88.63545,89.1451,88.41615,88.62034,89.45212,88.721,88.16267,83.40871,82.37235,83.49224,84.52557,84.49887,85.40978,..,..,..,..,..,..
Slovak Republic,SVK,"Total net enrolment rate, upper secondary, both sexes (%)",UIS.NERT.3,..,..,..,86.2686,88.67853,90.31382,89.70776,89.76675,90.58693,90.00352,90.15364,89.18248,87.32371,86.5649,85.95903,86.98181,88.82802,89.95075,89.57765,89.14494,..,..,..,..,..,..
Slovak Republic,SVK,"Total net enrolment rate, upper secondary, female (%)",UIS.NERT.3.F,..,..,..,86.78954,89.24889,91.02247,90.62367,90.5021,91.13465,90.55697,90.80638,89.96388,87.93739,86.89216,86.19727,86.99653,88.8518,90.12501,89.6921,89.29229,..,..,..,..,..,..
Slovak Republic,SVK,"Total net enrolment rate, upper secondary, male (%)",UIS.NERT.3.M,..,..,..,85.76927,88.13123,89.63325,88.82799,89.06092,90.0617,89.47372,89.53015,88.43764,86.73985,86.25352,85.73235,86.96781,88.80541,89.78524,89.46898,89.00499,..,..,..,..,..,..
Slovak Republic,SVK,"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",UIS.ROFST.2T3.CP,..,..,..,7.76254,6.57415,5.79848,6.55041,7.355,7.59322,7.98674,8.00587,7.87885,7.93717,8.11655,8.63851,8.36124,7.51939,7.07891,7.19459,7.41317,..,..,..,..,..,..
Slovak Republic,SVK,"Out-of-school rate for youth of upper secondary school age, both sexes (%)",UIS.ROFST.3.CP,..,..,..,13.7314,11.32147,9.68618,10.29224,10.23325,9.41307,9.99648,9.84636,10.81752,12.67629,13.4351,14.04097,13.01819,11.17198,10.04925,10.42235,10.85506,..,..,..,..,..,..
Slovak Republic,SVK,"Out-of-school rate for youth of upper secondary school age, both sexes (household survey data) (%)",UIS.ROFST.H.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovenia,SVN,"Enrolment in upper secondary education, both sexes (number)",UIS.E.3,117038,116921,125085,123943,124916,101656,100140,98005,94539,89990,85995,83432,80761,78829,92998,90717,88652,95339,93867,92466,..,..,..,..,..,..
Slovenia,SVN,"Enrolment in upper secondary education, female (number)",UIS.E.3.F,58648,58498,62736,61260,61206,49908,48920,47835,45775,43600,41689,40255,38925,38075,45261,44031,43084,46863,46051,45484,..,..,..,..,..,..
Slovenia,SVN,"Enrolment in upper secondary education, male (number)",UIS.E.3.M,58390,58423,62349,62683,63710,51748,51220,50170,48764,46390,44306,43177,41836,40754,47737,46686,45568,48476,47816,46982,..,..,..,..,..,..
Slovenia,SVN,"Gross enrolment ratio, upper secondary, both sexes (%)",SE.SEC.ENRR.UP,101.15032,103.41683,113.18373,114.41456,117.60121,97.80634,98.94573,100.03368,99.86901,99.11448,99.11711,100.39831,100.76609,100.20211,119.56698,117.82806,116.63969,127.27989,126.93821,126.62412,..,..,..,..,..,..
Slovenia,SVN,"Gross enrolment ratio, upper secondary, female (%)",SE.SEC.ENRR.UP.FE,104.13537,105.94201,115.9416,115.42157,117.67443,98.17452,98.94622,100.10673,99.46546,98.96046,99.05434,99.78187,99.9076,99.60759,120.03342,118.35654,117.67726,130.14969,129.41491,129.1242,..,..,..,..,..,..
Slovenia,SVN,"Gross enrolment ratio, upper secondary, male (%)",SE.SEC.ENRR.UP.MA,98.31953,101.00621,110.53807,113.44723,117.53095,97.45386,98.94525,99.96413,100.25081,99.25967,99.17625,100.97993,101.57821,100.764,119.12807,117.33394,115.67537,124.62337,124.64093,124.29429,..,..,..,..,..,..
Slovenia,SVN,"Total net enrolment rate, upper secondary, both sexes (%)",UIS.NERT.3,87.84948,89.248,89.97783,90.2786,91.63905,91.00216,91.66856,92.42845,92.30428,91.11175,91.82352,93.55964,94.30921,95.19258,96.21492,94.80719,96.69759,95.89907,96.16347,98.15129,..,..,..,..,..,..
Slovenia,SVN,"Total net enrolment rate, upper secondary, female (%)",UIS.NERT.3.F,90.71184,90.8434,92.22879,91.42534,92.39998,92.0273,92.6741,93.49364,93.38563,92.39866,93.0905,94.57899,95.32866,96.22498,97.24189,95.62927,97.5691,96.90893,96.76821,98.56352,..,..,..,..,..,..
Slovenia,SVN,"Total net enrolment rate, upper secondary, male (%)",UIS.NERT.3.M,85.13504,87.72497,87.81846,89.17706,90.90892,90.02072,90.70819,91.41428,91.2812,89.89858,90.6299,92.59788,93.34483,94.21684,95.24855,94.03855,95.88759,94.96427,95.60253,97.76714,..,..,..,..,..,..
